dataset,M,subset_index,members,sign_auc,snr_auc,magnitude_auc,tau09_coverage,tau09_false_trust_risk,zero_budget_cosine,accepted_components,total_components,K
TMM easy (near-saturated),5,10,0;1;2;4;9,0.770414151576,0.951123407109,0.950704225352,0.948863636364,0.014371257485,0.995303178449,835,880,11
TMM easy (near-saturated),5,11,0;1;2;5;6,0.769352941176,0.943568627451,0.948235294118,0.947727272727,0.015587529976,0.995270817342,834,880,11
TMM easy (near-saturated),5,12,0;1;2;5;7,0.884029904522,0.971806881643,0.94424428031,0.935227272727,0.00607533414338,0.995148110072,823,880,11
TMM easy (near-saturated),5,13,0;1;2;5;8,0.78462745098,0.95568627451,0.95031372549,0.943181818182,0.0144578313253,0.99539747193,830,880,11
TMM easy (near-saturated),5,14,0;1;2;5;9,0.773680610965,0.944944716745,0.94057524982,0.940909090909,0.0157004830918,0.9945792973,828,880,11
TMM easy (near-saturated),5,15,0;1;2;6;7,0.882807017544,0.972257309942,0.953356725146,0.945454545455,0.00600961538462,0.995833889539,832,880,11
TMM easy (near-saturated),5,16,0;1;2;6;8,0.755009221999,0.957914151576,0.949530516432,0.954545454545,0.0154761904762,0.9958568139,840,880,11
TMM easy (near-saturated),5,17,0;1;2;6;9,0.752784313725,0.951960784314,0.947725490196,0.952272727273,0.0167064439141,0.99522021572,838,880,11
TMM easy (near-saturated),5,18,0;1;2;7;8,0.875730140187,0.970404984424,0.950739875389,0.944318181818,0.00601684717208,0.995884248746,831,880,11
TMM easy (near-saturated),5,19,0;1;2;7;9,0.901745098039,0.976901960784,0.95737254902,0.938636363636,0.00605326876513,0.995230954229,826,880,11
TMM easy (near-saturated),5,20,0;1;2;8;9,0.767921568627,0.951450980392,0.949568627451,0.947727272727,0.015587529976,0.995343091105,834,880,11
TMM easy (near-saturated),5,21,0;1;3;4;5,0.814213590802,0.955925707547,0.947560436321,0.944318181818,0.0132370637786,0.995207760382,831,880,11
TMM easy (near-saturated),5,22,0;1;3;4;6,0.754066063045,0.948943661972,0.94533869886,0.956818181818,0.0154394299287,0.995587544951,842,880,11
TMM easy (near-saturated),5,23,0;1;3;4;7,0.907754765316,0.977204637228,0.957709174591,0.943181818182,0.00481927710843,0.995627216566,830,880,11
TMM easy (near-saturated),5,24,0;1;3;4;8,0.760388172463,0.952151448048,0.941209673918,0.952272727273,0.0143198090692,0.99570837997,838,880,11
TMM easy (near-saturated),5,25,0;1;3;4;9,0.783829599057,0.955446639151,0.950397995283,0.948863636364,0.0155688622754,0.995090707007,835,880,11
TMM easy (near-saturated),5,26,0;1;3;5;6,0.735996462264,0.935030955189,0.938384433962,0.948863636364,0.0191616766467,0.995069432691,835,880,11
