dataset,method,method_label,B_component_checks,reference_evaluations,budget_fraction,accepted_coverage,mean_relerr,relerr_cluster_low,relerr_cluster_high,mean_cosine,cosine_cluster_low,cosine_cluster_high,mean_false_risk,false_risk_cluster_low,false_risk_cluster_high
TMM stressed,mean_aligned_sign,Mean-aligned sign,0,0,0,1,0.956862317495,0.84380441385,1.0784168181,0.777042071334,0.718009862357,0.828942484123,0.211818181818,0.183636363636,0.241818181818
TMM stressed,mean_aligned_sign,Mean-aligned sign,1,2,0.0909090909091,0.909090909091,0.935367355851,0.821452847845,1.05752568049,0.806614663526,0.767540500268,0.842784861621,0.182271484375,0.154292138672,0.212963232422
TMM stressed,mean_aligned_sign,Mean-aligned sign,2,4,0.181818181818,0.818181818182,0.901946502835,0.788906392313,1.02394428671,0.826426868299,0.795182811015,0.856408422556,0.159459635417,0.131516438802,0.190008951823
TMM stressed,mean_aligned_sign,Mean-aligned sign,3,6,0.272727272727,0.727272727273,0.864486150154,0.753523840037,0.983630784514,0.836929210397,0.808548443356,0.864256108172,0.146325683594,0.118495544434,0.176751037598
TMM stressed,mean_aligned_sign,Mean-aligned sign,4,8,0.363636363636,0.636363636364,0.820742655591,0.712642961802,0.937605798983,0.856288709619,0.832553523246,0.878635813101,0.140376674107,0.111171735491,0.172041155134
TMM stressed,mean_aligned_sign,Mean-aligned sign,5,10,0.454545454545,0.545454545455,0.768672726975,0.665833020213,0.879977207031,0.872335771088,0.853254948536,0.890512163758,0.132815755208,0.10333585612,0.164961181641
TMM stressed,mean_aligned_sign,Mean-aligned sign,6,12,0.545454545455,0.454545454545,0.702122226638,0.608076067861,0.803707951649,0.887477118463,0.872812176424,0.901551776413,0.12829296875,0.0982571289063,0.161090527344
TMM stressed,mean_aligned_sign,Mean-aligned sign,7,14,0.636363636364,0.363636363636,0.626642189918,0.541598472232,0.71764163915,0.902542120478,0.89042884047,0.914097900802,0.122924804688,0.090537109375,0.15806640625
TMM stressed,mean_aligned_sign,Mean-aligned sign,8,16,0.727272727273,0.272727272727,0.534878036815,0.46130373891,0.612983965768,0.918135916992,0.908167854698,0.927978650668,0.123515625,0.0900966796875,0.16020328776
TMM stressed,mean_aligned_sign,Mean-aligned sign,9,18,0.818181818182,0.181818181818,0.42516396682,0.366032892508,0.488187319408,0.936476583774,0.927842396362,0.944972517243,0.12158203125,0.0879978027344,0.158448486328
TMM stressed,mean_aligned_sign,Mean-aligned sign,10,20,0.909090909091,0.0909090909091,0.274158201009,0.234599051547,0.316561660963,0.961614742597,0.954850706466,0.968009370004,0.12216796875,0.0883388671875,0.159551757812
TMM stressed,mean_aligned_sign,Mean-aligned sign,11,22,1,0,0,0,0,0.999999974789,0.999999953369,0.99999998954,,,
TMM stressed,sign_agreement,Modal sign agreement,0,0,0,1,0.956862317495,0.84380441385,1.0784168181,0.777042071334,0.718009862357,0.828942484123,0.211818181818,0.183636363636,0.241818181818
TMM stressed,sign_agreement,Modal sign agreement,1,2,0.0909090909091,0.909090909091,0.934376744272,0.820149874998,1.05731086179,0.807898440864,0.769267080072,0.844036158299,0.185802734375,0.157785107422,0.216159863281
TMM stressed,sign_agreement,Modal sign agreement,2,4,0.181818181818,0.818181818182,0.90240826505,0.789425593801,1.02457591735,0.826259860802,0.794977289348,0.85628261545,0.160108506944,0.132239420573,0.190690646701
TMM stressed,sign_agreement,Modal sign agreement,3,6,0.272727272727,0.727272727273,0.86485019563,0.753594848284,0.984196751703,0.836943600834,0.808560940098,0.864207610768,0.147102050781,0.119161621094,0.177478149414
TMM stressed,sign_agreement,Modal sign agreement,4,8,0.363636363636,0.636363636364,0.821458974639,0.713141352145,0.938189097803,0.856132948381,0.832336795522,0.878559692919,0.140457589286,0.111282784598,0.171989955357
TMM stressed,sign_agreement,Modal sign agreement,5,10,0.454545454545,0.545454545455,0.769228339669,0.666280286151,0.880748020257,0.872273283154,0.853203005341,0.890517911122,0.132679036458,0.103280680339,0.164840983073
TMM stressed,sign_agreement,Modal sign agreement,6,12,0.545454545455,0.454545454545,0.70217050684,0.607980040959,0.803672100503,0.887434679715,0.872826065584,0.901610861156,0.12919140625,0.098929296875,0.162024121094
